epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,1128.89,0.40804,0.32253,0.96407,0.99674,0.99864,0.995,0.9741,0.23064,0.18644,0.81192,0.00071686,0.00071686,0.00071686
145,1136.63,0.3943,0.31543,0.94352,0.99498,0.995,0.995,0.97407,0.23483,0.19692,0.81691,0.00071488,0.00071488,0.00071488
146,1144.71,0.39962,0.30025,0.94485,0.99022,0.99348,0.99497,0.96912,0.24725,0.21419,0.82112,0.0007129,0.0007129,0.0007129
147,1152.53,0.41117,0.31493,0.94903,0.99598,0.99864,0.995,0.97377,0.23538,0.19419,0.81736,0.00071092,0.00071092,0.00071092
148,1160.24,0.42129,0.32215,0.97287,0.99786,0.99864,0.995,0.96954,0.24203,0.18776,0.81725,0.00070894,0.00070894,0.00070894
149,1168.2,0.39518,0.30275,0.94257,0.99484,0.99864,0.995,0.96628,0.23323,0.18992,0.81329,0.00070696,0.00070696,0.00070696
150,1175.88,0.39559,0.30946,0.94862,0.99243,0.98136,0.99389,0.96554,0.23632,0.2087,0.8174,0.00070498,0.00070498,0.00070498
151,1183.59,0.3996,0.29896,0.95194,0.99736,0.99864,0.995,0.9708,0.23088,0.1792,0.81331,0.000703,0.000703,0.000703
152,1191.12,0.40296,0.29581,0.9545,0.99747,0.99864,0.995,0.97819,0.22383,0.18178,0.81061,0.00070102,0.00070102,0.00070102
153,1198.95,0.40829,0.31449,0.95111,0.99727,0.99864,0.995,0.97331,0.23634,0.19102,0.8151,0.00069904,0.00069904,0.00069904
154,1207.02,0.40002,0.3086,0.95432,0.99746,0.99858,0.995,0.96812,0.22229,0.18928,0.81127,0.00069706,0.00069706,0.00069706
155,1215.12,0.40968,0.30424,0.95598,0.99719,0.99864,0.995,0.96967,0.23918,0.19427,0.82232,0.00069508,0.00069508,0.00069508
156,1222.77,0.40692,0.30822,0.95534,0.9979,0.99864,0.995,0.97291,0.24495,0.19211,0.82019,0.0006931,0.0006931,0.0006931
157,1230.7,0.4034,0.2966,0.94915,0.99698,0.99864,0.995,0.97294,0.22777,0.18505,0.80925,0.00069112,0.00069112,0.00069112
158,1238.65,0.3859,0.30128,0.94022,0.99743,0.99804,0.995,0.98099,0.21706,0.17373,0.80427,0.00068914,0.00068914,0.00068914
159,1246.3,0.38265,0.29637,0.94868,0.99704,0.99491,0.995,0.97792,0.22141,0.18481,0.80605,0.00068716,0.00068716,0.00068716
160,1253.94,0.41025,0.30394,0.96983,0.99419,0.99864,0.99493,0.97012,0.23139,0.18889,0.80808,0.00068518,0.00068518,0.00068518
161,1261.62,0.40614,0.30198,0.94391,0.99804,0.99864,0.995,0.97579,0.23497,0.18221,0.81184,0.0006832,0.0006832,0.0006832
162,1269.63,0.40195,0.29398,0.94933,0.99424,0.99749,0.995,0.97607,0.22964,0.18139,0.81237,0.00068122,0.00068122,0.00068122
163,1277.47,0.39341,0.30676,0.95293,0.99643,0.99864,0.995,0.97828,0.21498,0.17334,0.806,0.00067924,0.00067924,0.00067924
164,1285.3,0.39672,0.30844,0.95656,0.99537,0.99631,0.995,0.97802,0.22957,0.18832,0.81177,0.00067726,0.00067726,0.00067726
165,1293.12,0.39105,0.29286,0.94135,0.99711,0.99864,0.995,0.97534,0.22458,0.18701,0.80736,0.00067528,0.00067528,0.00067528
